"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",28485751840
"af","Africa","afbwa","Botswana","bwa",969
"af","Africa","afciv","Cote d'Ivoire","civ",941374191
"af","Africa","afcmr","Cameroon","cmr",1890531987
"af","Africa","afcod","Democratic Republic of the Congo","cod",466660799
"af","Africa","afcog","Republic of the Congo","cog",6771805946.999999
"af","Africa","afdza","Algeria","dza",13863897885
"af","Africa","afegy","Egypt","egy",4228388257
"af","Africa","afgab","Gabon","gab",4302581020
"af","Africa","afgha","Ghana","gha",4683508642
"af","Africa","afgin","Guinea","gin",26670847
"af","Africa","afgnq","Equatorial Guinea","gnq",3077216151
"af","Africa","afken","Kenya","ken",5600
"af","Africa","aflbr","Liberia","lbr",38519810
"af","Africa","aflby","Libya","lby",22527917503
"af","Africa","aflso","Lesotho","lso",1
"af","Africa","afmar","Morocco","mar",12171
"af","Africa","afmdg","Madagascar","mdg",337
"af","Africa","afmwi","Malawi","mwi",1740.9999999999998
"af","Africa","afnam","Namibia","nam",48271
"af","Africa","afner","Niger","ner",374
"af","Africa","afnga","Nigeria","nga",46000062559
"af","Africa","afrwa","Rwanda","rwa",129
"af","Africa","afsdn","Sudan","sdn",791113976
"af","Africa","afsen","Senegal","sen",20174756
"af","Africa","afssd","South Sudan","ssd",1618513462
"af","Africa","afswz","Eswatini","swz",5407
"af","Africa","aftcd","Chad","tcd",876579609
"af","Africa","aftgo","Togo","tgo",186751076
"af","Africa","aftun","Tunisia","tun",653208495
"af","Africa","aftza","Tanzania","tza",1285
"af","Africa","afuga","Uganda","uga",963
"af","Africa","afzaf","South Africa","zaf",787337
"af","Africa","afzmb","Zambia","zmb",7167.000000000001
"as","Asia","asare","United Arab Emirates","are",57247604612
"as","Asia","asaze","Azerbaijan","aze",14837639184
"as","Asia","asbhr","Bahrain","bhr",675288219
"as","Asia","asbrn","Brunei","brn",2695125941
"as","Asia","aschn","China","chn",239801027
"as","Asia","ascyp","Cyprus","cyp",118678685
"as","Asia","asgeo","Georgia","geo",40305160
"as","Asia","ashkg","Hong Kong","hkg",188131
"as","Asia","asidn","Indonesia","idn",1908447996
"as","Asia","asind","India","ind",63820622
"as","Asia","asiot","British Indian Ocean Territory","iot",75177554
"as","Asia","asirn","Iran","irn",12338658450
"as","Asia","asirq","Iraq","irq",73845444955
"as","Asia","asisr","Israel","isr",7195054
"as","Asia","asjpn","Japan","jpn",104710
"as","Asia","askaz","Kazakhstan","kaz",34266028644
"as","Asia","askgz","Kyrgyzstan","kgz",16162601
"as","Asia","askor","South Korea","kor",430976516.00000006
"as","Asia","askwt","Kuwait","kwt",41708931734
"as","Asia","aslao","Laos","lao",1600
"as","Asia","aslka","Sri Lanka","lka",104.00000000000001
"as","Asia","asmmr","Myanmar","mmr",50219795
"as","Asia","asmng","Mongolia","mng",364837720
"as","Asia","asmys","Malaysia","mys",7880293562
"as","Asia","asomn","Oman","omn",17948769334
"as","Asia","aspak","Pakistan","pak",201909339
"as","Asia","asphl","Philippines","phl",276599027
"as","Asia","asqat","Qatar","qat",15361536220
"as","Asia","assau","Saudi Arabia","sau",145157149552
"as","Asia","assgp","Singapore","sgp",269752102
"as","Asia","astha","Thailand","tha",620470214.9999999
"as","Asia","astkm","Turkmenistan","tkm",339404005
"as","Asia","astls","Timor-Leste","tls",54685790
"as","Asia","astur","Turkey","tur",1432842795
"as","Asia","asvnm","Vietnam","vnm",1931229092.0000002
"as","Asia","asxxb","Chinese Taipei",,9302
"as","Asia","asyem","Yemen","yem",944126818.0000001
"eu","Europe","eualb","Albania","alb",189276971
"eu","Europe","euaut","Austria","aut",12250
"eu","Europe","eubel","Belgium","bel",812545518.9999999
"eu","Europe","eubgr","Bulgaria","bgr",6698024
"eu","Europe","eubih","Bosnia and Herzegovina","bih",342809
"eu","Europe","eublr","Belarus","blr",726767000
"eu","Europe","euche","Switzerland","che",113609871
"eu","Europe","eucze","Czechia","cze",170379.00000000003
"eu","Europe","eudeu","Germany","deu",52375161
"eu","Europe","eudnk","Denmark","dnk",1003494486
"eu","Europe","euesp","Spain","esp",451526221
"eu","Europe","euest","Estonia","est",374738
"eu","Europe","eufin","Finland","fin",239549
"eu","Europe","eufra","France","fra",149484560
"eu","Europe","eugbr","United Kingdom","gbr",22587233724
"eu","Europe","eugrc","Greece","grc",104660618
"eu","Europe","euhrv","Croatia","hrv",70430567
"eu","Europe","euhun","Hungary","hun",48562448
"eu","Europe","euirl","Ireland","irl",124886
"eu","Europe","euisl","Iceland","isl",184
"eu","Europe","euita","Italy","ita",54556683
"eu","Europe","eultu","Lithuania","ltu",18998568.999999996
"eu","Europe","eulux","Luxembourg","lux",663
"eu","Europe","eulva","Latvia","lva",3000597
"eu","Europe","eumda","Moldova","mda",180421
"eu","Europe","eumlt","Malta","mlt",71532451.00000001
"eu","Europe","eunld","Netherlands","nld",9313109964
"eu","Europe","eunor","Norway","nor",29550652817
"eu","Europe","eupol","Poland","pol",109091248
"eu","Europe","euprt","Portugal","prt",8325658.000000001
"eu","Europe","eurou","Romania","rou",26760674
"eu","Europe","eurus","Russia","rus",123294399894
"eu","Europe","eusrb","Serbia","srb",272568
"eu","Europe","eusvk","Slovakia","svk",26365844
"eu","Europe","eusvn","Slovenia","svn",282578
"eu","Europe","euswe","Sweden","swe",56846016.00000001
"na","North America","nablz","Belize","blz",20316835
"na","North America","nabrb","Barbados","brb",15044746
"na","North America","nacan","Canada","can",67774057059
"na","North America","nacuw","Curaçao","cuw",6720045
"na","North America","nagtm","Guatemala","gtm",113369769
"na","North America","nahnd","Honduras","hnd",85
"na","North America","najam","Jamaica","jam",93.00000000000001
"na","North America","nalca","Saint Lucia","lca",22392845
"na","North America","namex","Mexico","mex",26596324568
"na","North America","napan","Panama","pan",38972348.99999999
"na","North America","naslv","El Salvador","slv",6587.999999999999
"na","North America","natto","Trinidad and Tobago","tto",1138252325
"na","North America","nausa","United States","usa",61908713688
"oc","Oceania","ocasm","American Samoa","asm",6722
"oc","Oceania","ocaus","Australia","aus",4598094309
"oc","Oceania","ocfji","Fiji","fji",309126
"oc","Oceania","ocnzl","New Zealand","nzl",446033827
"oc","Oceania","ocpng","Papua New Guinea","png",605257931
"oc","Oceania","ocwsm","Samoa","wsm",87458
"sa","South America","saarg","Argentina","arg",1304068638
"sa","South America","sabol","Bolivia","bol",2222
"sa","South America","sabra","Brazil","bra",24280001841
"sa","South America","sachl","Chile","chl",382.99999999999994
"sa","South America","sacol","Colombia","col",13041440054
"sa","South America","saecu","Ecuador","ecu",7854159481
"sa","South America","saper","Peru","per",155198430
"sa","South America","sasur","Suriname","sur",106
"sa","South America","saven","Venezuela","ven",12242715313